City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,73.27,moderate rain,-23.1203,-134.9692,People ThankYou
3,Jibuti,DJ,69.75,clear sky,11.5,42.5,Orchid Main Camp Goubet
8,Atar,MR,76.14,clear sky,20.5169,-13.0499,Oumou Elghoura
9,Atuona,PF,78.21,clear sky,-9.8,-139.0333,Villa Enata
11,Namibe,AO,69.1,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
12,Hilo,US,79.25,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
13,Inhambane,MZ,72.16,clear sky,-23.865,35.3833,Oceano
14,Riyadh,SA,69.94,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
15,Kirakira,SB,83.25,broken clouds,-10.4544,161.9205,SanBiz Lodge
16,Bull Savanna,JM,76.73,broken clouds,17.8868,-77.5902,Big Red's
20,Niono,ML,75.63,scattered clouds,14.2526,-5.993,Hôtel Campement
23,Ixtapa,MX,76.23,clear sky,20.7,-105.2,hotel la terminal
31,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
34,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
35,Chiredzi,ZW,71.89,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
36,Thinadhoo,MV,81.14,overcast clouds,0.5333,72.9333,
40,Tocopilla,CL,65.43,few clouds,-22.092,-70.1979,Hotel Galvarino
42,Bambous Virieux,MU,70.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
44,Puerto Escondido,MX,81.43,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
45,Hervey Bay,AU,77.02,broken clouds,-25.2986,152.8535,Shelly Bay Resort
46,Byron Bay,AU,70.95,broken clouds,-28.65,153.6167,Backpackers Inn
51,Touros,BR,78.69,clear sky,-5.1989,-35.4608,INN NEW HORIZON
53,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
55,Belmonte,BR,75.85,moderate rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
56,Flinders,AU,66.18,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
57,Puerto Ayora,EC,70.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
58,Mahebourg,MU,70.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
61,Qui Nhon,VN,78.01,overcast clouds,13.7667,109.2333,Seagull Hotel
62,Butaritari,KI,81.18,few clouds,3.0707,172.7902,Isles Sunset Lodge
63,Bengkulu,ID,74.8,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
66,Vaitape,PF,79.47,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
71,Airai,TL,72.21,broken clouds,-8.9266,125.4092,
73,Qurbus,TN,66.54,light rain,36.8167,10.5687,اقامةالمياه المعدنية
76,Carutapera,BR,77.72,overcast clouds,-1.195,-46.02,Lidera
77,Tautira,PF,77.94,overcast clouds,-17.7333,-149.15,Pension Oaoa
78,Hithadhoo,MV,80.8,overcast clouds,-0.6,73.0833,Scoop Guest House
80,Beruwala,LK,74.39,broken clouds,6.4788,79.9828,The Palms Hotel
84,Kaeo,NZ,73.33,overcast clouds,-35.1,173.7833,Bushido Lodge
95,Kavaratti,IN,81.59,overcast clouds,10.5669,72.642,Green leaf
97,Vilhena,BR,76.1,overcast clouds,-12.7406,-60.1458,Hotel Mirage
98,Rafai,CF,68.61,overcast clouds,4.95,23.9167,
99,Boke,GN,75.34,overcast clouds,10.9409,-14.2967,Hôtel Rio Nunez - Boké
100,Bubaque,GW,83.08,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
105,Bella Union,UY,73.69,clear sky,-30.2752,-57.6007,Saville Free Shop
106,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
111,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
112,Puerto Baquerizo Moreno,EC,70.81,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
113,San Pedro De Ycuamandiyu,PY,66.18,clear sky,-24.0917,-57.0764,Hotel Refugio
114,Goundam,ML,75.29,overcast clouds,16.4145,-3.6708,
119,Pontianak,ID,80.58,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
120,Sao Filipe,CV,77.43,overcast clouds,14.8961,-24.4956,Hotel Xaguate
125,Manokwari,ID,83.08,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
126,Port Augusta,AU,71.26,clear sky,-32.5,137.7667,Majestic Oasis Apartments
129,Mana,GF,78.08,overcast clouds,5.6592,-53.7767,LE SAMANA
132,Saint-Pierre,RE,67.91,clear sky,-21.3393,55.4781,Alize Plage
133,Saint Pete Beach,US,67.15,scattered clouds,27.7253,-82.7412,Sirata Beach Resort
135,Victoria,HK,78.85,broken clouds,22.2855,114.1577,Mini Central
138,Mompos,CO,76.73,overcast clouds,9.2419,-74.4267,Hotel Villa de Mompox
141,Ahome,MX,69.75,broken clouds,25.9167,-109.1833,La quinta del diablo
145,Oriximina,BR,81.36,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
146,Ahuimanu,US,83.91,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
154,Vao,NC,76.57,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
156,Cascais,PT,65.93,overcast clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
162,Sinnar,SD,74.19,few clouds,13.5691,33.5672,بساتين سالمة
163,Araouane,ML,73.06,overcast clouds,18.9048,-3.5265,
169,Gamba,GA,75.99,light rain,-2.65,10.0,
172,Sohbatpur,PK,65.43,clear sky,28.5202,68.5434,Allu Hotel
176,Paciran,ID,82.87,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
180,High Rock,BS,75.22,few clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
182,Mozarlandia,BR,78.62,clear sky,-14.7447,-50.5706,Hotel Santa Mônica
183,Lodja,CD,67.77,overcast clouds,-3.4833,23.4333,
186,Quirinopolis,BR,74.21,clear sky,-18.4483,-50.4517,Rota Hotéis - Quirinópolis GO
187,Presidencia Roque Saenz Pena,AR,70.3,clear sky,-26.7852,-60.4388,Hotel Gualok
192,Puerto Del Rosario,ES,65.95,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
194,Ilhabela,BR,69.03,clear sky,-23.7781,-45.3581,Ilha Flat Hotel
195,Sola,VU,82.54,clear sky,-13.8833,167.55,Leumerus Bungalows
200,Araioses,BR,78.51,clear sky,-2.89,-41.9031,Pousada Vale do Magú
204,Yaan,NG,72.07,overcast clouds,7.3833,8.5667,
207,Dingle,PH,84.15,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
209,Myanaung,MM,76.48,clear sky,18.2833,95.3167,Garden House Bungalow Guesthouse
210,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
212,Ahipara,NZ,68.56,light rain,-35.1667,173.1667,Ahipara Holiday Park
220,Beloha,MG,65.19,clear sky,-25.1667,45.05,
222,Cidreira,BR,66.63,clear sky,-30.1811,-50.2056,Hotel Castelo
226,Saint-Philippe,RE,65.79,few clouds,-21.3585,55.7679,Le four à pain
228,Honiara,SB,84.15,broken clouds,-9.4333,159.95,Heritage Park Hotel
229,Arraial Do Cabo,BR,71.91,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
230,Faanui,PF,79.66,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
232,Basco,PH,80.87,clear sky,20.4487,121.9702,Nathaniel's Lodge
239,Tura,IN,68.41,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
243,Boffa,GN,72.5,overcast clouds,10.1667,-14.0333,Hôtel Niara Belly
244,Kendari,ID,81.05,overcast clouds,-3.945,122.4989,Hotel Wixel
246,Cabo San Lucas,MX,78.51,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
252,Prado,BR,73.2,light rain,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
253,Keti Bandar,PK,76.19,clear sky,24.1447,67.4497,Haji laloo memon house
255,Carnarvon,AU,68.4,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
259,Muisne,EC,74.1,overcast clouds,0.6,-80.0333,Quinta Samay
264,Ishigaki,JP,80.73,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
267,Gizo,SB,84.6,broken clouds,-8.103,156.8419,Imagination Island
269,Grand Gaube,MU,70.2,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
270,Luanda,AO,75.88,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
276,Candelaria,PH,84.7,overcast clouds,13.9311,121.4233,Casa de Provincia
277,Beinamar,TD,70.18,broken clouds,8.6698,15.3813,
279,Dakoro,NE,67.68,broken clouds,14.5106,6.765,Shagon mai liverpool
282,Phuket,TH,84.09,few clouds,8.0,98.25,The Surin
283,Marawi,PH,71.22,overcast clouds,7.9986,124.2928,Derogongan Residence
286,Guerrero Negro,MX,67.39,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
287,Port-Gentil,GA,76.93,moderate rain,-0.7193,8.7815,Fengshui Residence
291,Jeremie,HT,79.36,few clouds,18.65,-74.1167,Auberge’Inn
298,Alice Springs,AU,76.55,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
302,Lahaina,US,84.2,overcast clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
305,Majene,ID,84.33,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
308,Cortes,ES,66.25,light rain,41.9395,-1.4396,Rincon de bu
312,Santa Cruz,BO,76.46,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
314,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
315,Ponta Do Sol,PT,69.71,broken clouds,32.6667,-17.1,Hotel do Campo
320,Mannarakkat,IN,74.88,overcast clouds,10.9833,76.4667,The Park Residency
322,Rabaul,PG,82.76,overcast clouds,-4.1967,152.1721,Rabaul Hotel
324,Monywa,MM,71.42,clear sky,22.1167,95.1333,Monywa Hotel
325,Porto De Moz,BR,77.97,overcast clouds,-1.7483,-52.2383,Dormitório labelle
326,Bac Lieu,VN,83.44,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
327,Dwarka,IN,78.15,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
329,Teofilo Otoni,BR,68.34,overcast clouds,-17.8575,-41.5053,Hotel Nobre Palace
332,Yei,SS,66.0,broken clouds,4.095,30.6779,Twins Hotel Yei
334,Padang,ID,73.45,light rain,-0.9492,100.3543,Mercure Padang
335,Maldonado,UY,67.23,clear sky,-34.6667,-54.9167,La Cimarrona
339,Bucerias,MX,76.98,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
342,Tshikapa,CD,68.09,overcast clouds,-6.4167,20.8,Tatem beach
343,Mocuba,MZ,70.43,clear sky,-16.8392,36.9856,Phama Lodge
345,Camocim,BR,77.63,clear sky,-2.9022,-40.8411,Ilha Praia Hotel
346,Zuwarah,LY,66.56,overcast clouds,32.9312,12.082,تيدارت انغ
348,Baindur,IN,74.89,few clouds,13.8667,74.6333,Sai Vishram Beach Resort (Pure Veg and No Alcohol)
350,Biu,NG,66.07,overcast clouds,10.6129,12.1946,Emir's Palace
351,Kashmor,PK,65.26,clear sky,28.4333,69.5833,Shah Madina Hotel
354,Cap-Haitien,HT,80.22,light rain,19.7578,-72.2042,Habitation Jouissant
356,Gabu,GW,76.64,overcast clouds,12.2833,-14.2167,Hotel karsa
359,Guatire,VE,79.2,overcast clouds,10.4762,-66.5427,Conjunto Residencial Girasol
368,Hirara,JP,79.07,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
369,Niquelandia,BR,71.62,overcast clouds,-14.4739,-48.4597,Hotel Suinã
370,Ambilobe,MG,71.71,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
376,Cayenne,GF,78.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
377,Hobyo,SO,80.31,light rain,5.3505,48.5268,Halane Hotel and Restaurent
378,Karratha,AU,78.57,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
379,Pochutla,MX,80.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
380,Atambua,ID,84.13,overcast clouds,-9.1061,124.8925,Ros Muskanan
381,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
383,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
386,Wukari,NG,73.42,overcast clouds,7.85,9.7833,Elimtop
387,Kasangulu,CD,74.34,moderate rain,-4.5911,15.1708,Hôtel le Relais
388,Susangerd,IR,68.79,overcast clouds,31.5608,48.1831,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
389,Phak Hai,TH,80.02,overcast clouds,14.4574,100.3699,เดอะ แบงค์ ริเวอร์ เฮาส์ (The Bank River House)
390,Sawakin,SD,83.1,few clouds,19.1059,37.3321,فندق الدويم
391,Nieuw Amsterdam,SR,80.02,overcast clouds,5.8833,-55.0833,Hotel Stardust
392,Valenca,BR,72.37,overcast clouds,-13.3703,-39.0731,Hotel Galeão
395,Bastia,FR,65.3,overcast clouds,42.6667,9.3333,Hotel Santa Maria
402,Sao Felix Do Xingu,BR,72.46,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
403,Dubai,AE,78.73,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
404,Biak,ID,82.71,overcast clouds,-0.9131,122.8766,Penginapan Kim
408,Dire,ML,74.01,overcast clouds,12.2833,-10.9667,
409,Isangel,VU,83.73,overcast clouds,-19.55,169.2667,Tanna Lodge
413,Kampot,KH,84.25,overcast clouds,10.6167,104.1833,Two Moons Hotel
417,Kavieng,PG,84.97,broken clouds,-2.5744,150.7967,Nusa Island Retreat
419,Aguimes,ES,72.66,clear sky,27.9054,-15.4461,Hotel Villa de Aguimes
422,Rodrigues Alves,BR,71.94,overcast clouds,-7.738,-72.6509,Pousada Aconchego
423,Matara,LK,77.63,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
425,Sur,OM,74.84,clear sky,22.5667,59.5289,Sur Plaza Hotel
426,Sainte-Rose,GP,77.04,scattered clouds,16.3324,-61.6979,Habitation du Comté - Hotel à Sainte-Rose
430,Lingao,CN,79.47,scattered clouds,19.9103,109.6859,Lingao Ditai Inn
434,Tabou,CI,77.16,clear sky,4.423,-7.3528,hotêl doufoulougou
435,Nouadhibou,MR,73.38,clear sky,20.931,-17.0347,El Medina
436,Brokopondo,SR,77.99,overcast clouds,4.75,-55.1667,Matu Island
437,San Cristobal,VE,69.98,overcast clouds,7.7669,-72.225,Pirineos
440,Fare,PF,79.29,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
444,Nueva Loja,EC,71.38,overcast clouds,0.0847,-76.8828,Limoncocha Great Hotel
447,Melilla,ES,68.38,clear sky,35.2937,-2.9383,Hotel Anfora
451,Kushima,JP,65.26,overcast clouds,31.4583,131.2333,Hanaoka
452,Port Hedland,AU,80.65,broken clouds,-20.3167,118.5667,The Esplanade Hotel
454,La Palma,US,72.21,few clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
456,Maneromango,TZ,71.24,broken clouds,-7.1988,38.7848,
459,Caravelas,BR,72.27,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
466,Dakar,SN,78.93,clear sky,14.6937,-17.4441,Novotel Dakar
467,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
468,Mitu,CO,72.05,heavy intensity rain,1.1983,-70.1733,
470,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
472,Cabinda,AO,76.19,overcast clouds,-5.55,12.2,Hotel Maiombe
476,Sao Joao Da Barra,BR,70.5,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
479,Srandakan,ID,84.85,broken clouds,-7.9386,110.2506,Puri Brata
481,Garissa,KE,74.34,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
483,Banda Aceh,ID,82.0,moderate rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
484,Esperance,AU,73.17,clear sky,-33.8667,121.9,Hospitality Esperance
486,Santarem,BR,77.13,clear sky,-2.4431,-54.7083,Hotel Imperador
487,Mtambile,TZ,77.41,scattered clouds,-5.3833,39.7,
494,Mayumba,GA,75.83,light rain,-3.432,10.6554,LIKWALE LODGE
496,Big Bend,SZ,68.31,clear sky,-26.8167,31.9333,The Lebombo Villa B+B
499,Lazaro Cardenas,MX,77.92,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
501,Pemangkat,ID,82.47,broken clouds,1.1667,108.9667,Hotel Duyung Permai 2
502,Buala,SB,84.58,light rain,-8.145,159.5921,Maringe Lagoon Lodge
504,Port Macquarie,AU,67.89,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
506,The Valley,AI,80.46,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
510,Nago,JP,77.43,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
514,Alta Floresta,BR,73.38,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
515,Arica,CL,65.75,clear sky,-18.475,-70.3042,Americano
516,Bilma,NE,65.1,clear sky,18.6853,12.9164,Expeditions Ténére voyages
517,Birao,CF,67.55,broken clouds,10.2849,22.7882,
519,Acapulco,MX,82.22,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
521,Miracema Do Tocantins,BR,74.48,overcast clouds,-9.5618,-48.3967,Miami Apart Hotel
523,Ewa Beach,US,84.15,scattered clouds,21.3156,-158.0072,Base Lodging
526,Ugoofaaru,MV,81.12,overcast clouds,5.6667,73.0,Ungoofaaru Inn
532,Sal Rei,CV,76.89,clear sky,16.1833,-22.9167,Marine Club Beach Resort
534,Tessalit,ML,66.97,broken clouds,20.1986,1.0114,
537,Iquitos,PE,73.44,clear sky,-3.7481,-73.2472,Cortez Malaga Techy Caroly
538,Unai,BR,71.01,overcast clouds,-16.3575,-46.9061,Hotel Regente
539,Guiglo,CI,67.98,clear sky,6.5456,-7.4966,Hotel GBAOLY 2
540,Samarinda,ID,82.22,overcast clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
544,Kununurra,AU,82.38,scattered clouds,-15.7667,128.7333,Hotel Kununurra
545,Salto,UY,73.87,clear sky,-31.3833,-57.9667,Gran Hotel Uruguay
547,Tomatlan,MX,72.18,clear sky,19.9333,-105.25,El Salvial
548,Gawler,AU,70.16,clear sky,-34.6,138.7333,Eagle Foundry Bed & Breakfast
550,Calabozo,VE,77.29,overcast clouds,8.9242,-67.4293,Hotel Giardini
551,Miami,US,81.0,broken clouds,25.7743,-80.1937,Miami Sun Hotel- Downtown/Port of Miami
555,Vila Velha,BR,71.55,moderate rain,-20.3297,-40.2925,Hotel Vitória Palace
559,Umm Lajj,SA,74.59,overcast clouds,25.0213,37.2685,Moon light Furnished Units
560,Moron,AR,82.29,broken clouds,-34.6534,-58.6198,Hotel Morón
561,Kudahuvadhoo,MV,81.3,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
567,Black River,JM,78.12,scattered clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
568,Camacha,PT,65.62,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
569,Raga,SS,70.09,broken clouds,8.4596,25.678,
570,Ko Samui,TH,82.31,few clouds,9.5357,99.9357,The Passage
571,Maues,BR,81.41,overcast clouds,-3.3836,-57.7186,Hotel Miramar
574,Taoudenni,ML,71.6,clear sky,22.6783,-3.9836,
575,Cosala,MX,65.57,clear sky,24.4125,-106.6908,Hotel Real del Conde
578,Rio Grande,BR,67.6,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
579,Jati,PK,72.91,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
581,El Paraiso,HN,65.43,broken clouds,13.8667,-86.55,Hotel Isis
582,Trinidad,BO,81.14,broken clouds,-14.8333,-64.9,Hotel Piesta
583,Podor,MR,83.17,scattered clouds,16.6527,-14.9587,Auberge Du Tékrour
587,Lipari,IT,67.32,overcast clouds,38.4674,14.954,Hotel Villa Augustus
589,Pozo Colorado,PY,68.81,clear sky,-23.4923,-58.7972,Hospedaje La Norteña
596,Saquarema,BR,70.14,broken clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
597,Axim,GH,76.93,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
598,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
599,Buchanan,LR,76.64,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
604,Werda,BW,75.11,clear sky,-25.2667,23.2833,
607,Mattru,SL,72.18,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
621,Murray Bridge,AU,67.33,clear sky,-35.1167,139.2667,Balcony On Sixth Lodge
625,Meulaboh,ID,78.21,overcast clouds,4.1363,96.1285,Kost Pria
627,Felipe Carrillo Puerto,MX,72.81,light rain,19.5833,-88.05,Hotel La Ceiba
632,Redlands,US,67.17,clear sky,34.0556,-117.1825,Dynasty Suites Redlands
634,Toamasina,MG,73.4,broken clouds,-18.1667,49.3833,Hotel H1
635,Itarema,BR,78.62,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
638,Navrongo,GH,73.81,clear sky,10.8956,-1.0921,Azakka Hotel
639,Tari,NG,71.94,broken clouds,12.4086,4.4914,
640,Ipojuca,BR,80.51,few clouds,-8.3989,-35.0639,Temporada Condomínio Reserva Ipojuca
641,Nishihara,JP,76.66,broken clouds,26.1842,127.7558,Minshuku Agaihama
642,Maceio,BR,76.44,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
645,Cururupu,BR,75.09,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
648,Baiao,BR,77.49,overcast clouds,-2.7906,-49.6717,Município de Baião
656,Itaituba,BR,79.21,overcast clouds,-4.2761,-55.9836,Hotel Campos
662,Cayhagan,PH,80.89,overcast clouds,9.6697,122.4256,Melrose Beach Resort
663,Olinala,MX,66.31,clear sky,17.8333,-98.85,
667,Road Town,VG,80.69,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
672,Jiaojiang,CN,66.0,broken clouds,28.6803,121.4428,Fangyuan Hotel
676,Boca Do Acre,BR,74.17,broken clouds,-8.7522,-67.3978,Hotel Sao Pedro
682,Cajititlan,MX,65.89,clear sky,20.4333,-103.3167,La Pradera Eventos
683,Abu Dhabi,AE,77.02,clear sky,24.4667,54.3667,Beach Rotana
684,Moindou,NC,81.45,overcast clouds,-21.6924,165.677,Equi-lodge de Moindou
686,Tawau,MY,78.93,heavy intensity rain,4.2498,117.8871,Shervinton Executive Boutique Hotel
688,La Trinidad,PH,74.79,few clouds,16.455,120.5875,Paladin Hotel
689,Carauari,BR,73.6,broken clouds,-4.8828,-66.8958,Hotel Fellip
691,Richards Bay,ZA,70.52,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
692,Arlit,NE,66.76,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
693,Praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
694,Ormara,PK,76.3,clear sky,25.2088,64.6357,Kenara Colony House for Rent
695,Denpasar,ID,83.86,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta Dua
696,Camapua,BR,67.86,clear sky,-19.5314,-54.0439,Comercial Estrela
697,Maragogi,BR,75.36,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
698,Sibolga,ID,76.75,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
700,Christchurch,NZ,69.42,broken clouds,-43.5333,172.6333,The George
702,Finschhafen,PG,84.88,overcast clouds,-6.6024,147.8681,Oasis Gagidu Ltd
703,Amapa,BR,70.97,overcast clouds,1.0,-52.0,
705,Neiafu,TO,75.88,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
706,Kaduqli,SD,70.29,broken clouds,11.0167,29.7167,Nussyba
707,Pundaguitan,PH,77.61,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
708,La Orilla,MX,77.32,clear sky,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
709,Tambun,ID,83.48,heavy intensity rain,-6.2641,107.0712,Metland Hotel Bekasi
714,Boa Vista,BR,80.58,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
715,Karoi,ZW,67.69,broken clouds,-16.8099,29.6925,Chikangwe Guest houses
717,Itupeva,BR,65.93,clear sky,-23.1531,-47.0578,Itupeva Plaza Hotel
725,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
